station_id,station_name,latitude,longitude,malecount,femalecount,SUM,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,age80,age85,age90,age95,age100,age101,age20m,age20f,age25m,age25f,age30m,age30f,age35m,age35f,age40m,age40f,age45m,age45f,age50m,age50f,age55m,age55f,age60m,age60f,age65m,age65f,age70m,age70f,age75m,age75f,age80m,age80f,age85m,age85f,age90m,age90f,age95m,age95f,age100m,age100f,age101m,age101f
225,W 14 St & The High Line,40.74195138,-74.00803013,29392,12117,64241,228,2405,8540,8536,6441,4206,3994,3144,2254,1127,279,196,73,0,3,3,0,22815,165,63,1575,830,5323,3206,6066,2465,4869,1530,2973,1232,2706,1283,2477,661,1829,424,839,288,174,104,165,31,73,0,0,0,3,0,3,0,0,0,155,0
228,E 48 St & 3 Ave,40.7546011,-73.97187886,36466,6432,47491,24,2195,8201,8630,5566,5251,5004,3906,2385,1216,383,176,3,0,0,0,0,4551,21,0,1909,286,6570,1630,7263,1364,4652,893,4714,531,4388,616,3544,362,1808,576,1065,151,355,17,173,3,3,0,0,0,0,0,0,0,0,0,0,0
229,Great Jones St,40.72743423,-73.99379025,44593,15741,65849,667,6316,13089,11735,7254,5109,5375,4632,3879,1358,795,150,34,16,0,0,0,5440,511,155,4277,2013,9300,3786,8261,3449,5591,1654,4111,985,4184,1189,3639,992,2864,1015,1029,329,645,150,130,20,31,3,15,0,0,0,0,0,0,0,5,0
232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,3947,1366,18076,59,218,790,1163,714,725,451,572,242,313,32,31,2,0,0,0,0,12764,52,7,153,65,552,238,792,371,554,160,595,130,318,133,420,152,188,54,278,35,24,8,20,11,0,2,0,0,0,0,0,0,0,0,0,0
233,Cadman Plaza W & Pierrepont St,40.69475701,-73.99052739,6408,2425,11235,67,299,1135,1409,1339,1399,1049,939,817,269,67,43,0,0,0,0,0,2401,64,0,176,123,892,243,1065,343,989,350,926,473,679,370,822,117,470,347,222,47,61,6,42,0,0,0,0,0,0,0,0,0,0,0,0,0
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,55906,21066,85904,672,8284,18505,17192,8732,6510,5670,3885,3545,2518,758,839,73,5,0,0,0,8716,532,140,5306,2975,13554,4937,12340,4693,6506,2219,4818,1684,4008,1659,3098,783,2612,919,1718,800,558,190,781,58,68,5,0,4,0,0,0,0,0,0,6,0
237,E 11 St & 2 Ave,40.73047309,-73.98672378,54875,22218,85454,673,8169,18731,17523,8547,6346,5052,5124,3295,2184,1002,363,69,10,0,0,0,8364,520,151,5743,2425,13507,5207,11897,5612,6188,2353,4891,1453,3745,1300,3456,1667,2368,924,1344,840,840,160,257,106,51,18,8,0,0,0,0,0,0,0,58,0
238,Bank St & Washington St,40.7361967,-74.00859207,28332,12646,48014,649,1699,5128,6648,5804,4151,4822,3870,3570,2449,1093,220,891,0,0,0,0,7018,579,70,1055,644,2908,2218,4355,2285,4510,1288,3391,759,3663,1159,2731,1139,2254,1315,1407,1042,423,670,166,54,888,3,0,0,0,0,0,0,0,0,0,0
239,Willoughby St & Fleet St,40.69196566,-73.9813018,12027,5646,18625,12,1242,2536,3698,4197,2275,1940,831,617,179,98,51,6,0,0,0,0,943,9,3,767,475,1620,909,2307,1389,2710,1487,1772,503,1472,468,547,284,508,109,170,9,89,9,50,0,6,0,0,0,0,0,0,0,0,0,0,0
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,8621,4130,14661,30,274,2355,2679,2744,2067,1117,644,263,216,137,230,0,0,0,0,0,1903,9,21,199,75,1537,818,1662,1010,1696,1048,1363,703,851,266,552,92,198,65,200,16,123,14,228,2,0,0,0,0,0,0,0,0,0,0,0,0
242,Carlton Ave & Flushing Ave,40.697787,-73.973736,7734,2810,13809,59,878,2203,2152,1551,1158,1007,674,581,199,89,4,0,0,0,0,0,3252,57,2,409,469,1378,825,1571,581,1111,429,955,200,888,119,531,143,547,34,194,5,87,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Fulton St & Rockwell Pl,40.688226,-73.979382,10683,4318,16159,59,634,2179,4333,2845,1860,1580,511,576,246,64,113,0,0,0,0,0,1157,23,36,559,75,1283,896,2873,1459,2026,819,1521,339,1231,347,359,152,468,108,182,64,41,23,113,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,8779,3997,13929,20,527,2168,3120,1740,2806,1004,821,206,290,71,5,0,0,0,0,0,1150,20,0,380,147,890,1275,2299,820,1444,296,2113,693,762,242,425,396,96,110,284,6,59,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0
